"cr83d_caseintent1id","cr83d_defaultsla","importsequencenumber","cr83d_name","cr83d_requiresapproval","statuscode","statecode","timezoneruleversionnumber","utcconversiontimezonecode","versionnumber","owningbusinessunit","cr83d_parentappcategory"
"c86e5fc5-011c-f111-88b2-000d3a316591","2","","Standard Invoice Requirements","False","1","0","","","2575563","c88f4d16-1e19-f111-8342-000d3a30e1ff","bac95fbf-011c-f111-88b2-000d3a316591"
"c76e5fc5-011c-f111-88b2-000d3a316591","5","","Unblock a Supplier","True","1","0","","","2575562","c88f4d16-1e19-f111-8342-000d3a30e1ff","bbc95fbf-011c-f111-88b2-000d3a316591"
"c66e5fc5-011c-f111-88b2-000d3a316591","3","","Supplier Login or Portal Issues","False","1","0","","","2575561","c88f4d16-1e19-f111-8342-000d3a30e1ff","bbc95fbf-011c-f111-88b2-000d3a316591"
"c56e5fc5-011c-f111-88b2-000d3a316591","5","","Apply for Corporate Card India","True","1","0","","","2575560","c88f4d16-1e19-f111-8342-000d3a30e1ff","b9c95fbf-011c-f111-88b2-000d3a316591"
"c46e5fc5-011c-f111-88b2-000d3a316591","5","","Security Pass Medical Certificate","False","1","0","","","2575559","c88f4d16-1e19-f111-8342-000d3a30e1ff","b8c95fbf-011c-f111-88b2-000d3a316591"
"c36e5fc5-011c-f111-88b2-000d3a316591","5","","Payment Reconciliation Query","False","1","0","","","2575558","c88f4d16-1e19-f111-8342-000d3a30e1ff","b7c95fbf-011c-f111-88b2-000d3a316591"
"c26e5fc5-011c-f111-88b2-000d3a316591","3","","Travel Feedback Submission","False","1","0","","","2575557","c88f4d16-1e19-f111-8342-000d3a30e1ff","b6c95fbf-011c-f111-88b2-000d3a316591"
"c16e5fc5-011c-f111-88b2-000d3a316591","2","","Meeting Room Booking Issue","False","1","0","","","2575556","c88f4d16-1e19-f111-8342-000d3a30e1ff","63d939b9-011c-f111-88b2-000d3a316591"
"c06e5fc5-011c-f111-88b2-000d3a316591","5","","Airfare Refund Credit Note Not Received","False","1","0","","","2575555","c88f4d16-1e19-f111-8342-000d3a30e1ff","5cd939b9-011c-f111-88b2-000d3a316591"
"bf6e5fc5-011c-f111-88b2-000d3a316591","2","","Access CBTT","False","1","0","","","2575554","c88f4d16-1e19-f111-8342-000d3a30e1ff","61d939b9-011c-f111-88b2-000d3a316591"
